,path,Total,Total Entity,B Entity
367,"['root', 'nummod', 'nummod']",2,0,0
368,"['root', 'npadvmod', 'compound']",5,4,4
369,"['root', 'ccomp', 'nsubjpass', 'det']",17,0,0
370,"['root', 'ccomp', 'nsubjpass']",26,2,1
371,"['root', 'ccomp', 'nsubjpass', 'amod']",1,1,1
372,"['root', 'ccomp', 'nsubjpass', 'relcl', 'nsubj']",3,0,0
373,"['root', 'ccomp', 'nsubjpass', 'relcl']",2,0,0
374,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'det']",3,0,0
375,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj']",2,0,0
376,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'prep']",2,0,0
377,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'prep', 'pobj', 'amod']",1,0,0
378,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'prep', 'pobj']",1,1,0
379,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'prep', 'pobj', 'compound']",1,1,1
380,"['root', 'ccomp', 'auxpass']",26,0,0
381,"['root', 'ccomp', 'agent']",5,0,0
382,"['root', 'ccomp', 'agent', 'pobj', 'det']",1,0,0
383,"['root', 'ccomp', 'agent', 'pobj']",4,0,0
384,"['root', 'ccomp', 'agent', 'pobj', 'amod']",2,0,0
385,"['root', 'ccomp', 'agent', 'pobj', 'acl']",1,0,0
386,"['root', 'ccomp', 'agent', 'pobj', 'acl', 'dobj', 'quantmod']",1,0,0
387,"['root', 'ccomp', 'agent', 'pobj', 'acl', 'dobj']",1,0,0
388,"['root', 'ccomp', 'agent', 'pobj', 'acl', 'dobj', 'compound']",1,0,0
389,"['root', 'ccomp', 'agent', 'pobj', 'acl', 'dobj', 'prep', 'pobj']",1,0,0
390,"['root', 'ccomp', 'nsubjpass', 'compound']",7,4,3
391,"['root', 'ccomp', 'nsubjpass', 'cc']",3,0,0
392,"['root', 'ccomp', 'nsubjpass', 'conj', 'poss']",1,0,0
393,"['root', 'ccomp', 'nsubjpass', 'conj']",2,0,0
394,"['root', 'ccomp', 'nsubjpass', 'conj', 'appos', 'compound']",1,1,1
395,"['root', 'ccomp', 'nsubjpass', 'conj', 'appos']",1,1,0
396,"['root', 'ccomp', 'nsubjpass', 'punct']",8,0,0
397,"['root', 'ccomp', 'nsubjpass', 'appos']",1,0,0
398,"['root', 'ccomp', 'nsubjpass', 'appos', 'appos']",1,0,0
399,"['root', 'ccomp', 'npadvmod', 'cc']",1,0,0
400,"['root', 'ccomp', 'npadvmod', 'conj', 'amod']",1,0,0
401,"['root', 'ccomp', 'npadvmod', 'conj']",1,0,0
402,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'compound']",6,3,1
403,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'prep']",2,0,0
404,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'prep', 'pobj', 'det']",3,0,0
405,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'prep', 'pobj']",3,1,0
406,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'prep', 'pobj', 'compound']",2,1,1
407,"['root', 'ccomp', 'mark']",7,0,0
408,"['root', 'ccomp', 'nsubjpass', 'prep', 'pobj', 'poss']",1,0,0
409,"['root', 'ccomp', 'nsubjpass', 'prep', 'pobj', 'poss', 'case']",1,0,0
410,"['root', 'ccomp', 'nsubjpass', 'prep', 'pobj', 'amod']",1,0,0
411,"['root', 'ccomp', 'nsubjpass', 'prep', 'pobj', 'prep']",1,0,0
412,"['root', 'ccomp', 'nsubjpass', 'prep', 'pobj', 'prep', 'pobj']",1,1,1
413,"['root', 'ccomp', 'prt']",4,0,0
414,"['root', 'ccomp', 'advcl', 'prep', 'pcomp']",2,0,0
415,"['root', 'ccomp', 'advcl', 'prep', 'pcomp', 'dobj', 'compound']",2,1,1
416,"['root', 'ccomp', 'advcl', 'prep', 'pcomp', 'dobj']",2,1,0
417,"['root', 'acomp', 'advmod']",6,0,0
418,"['root', 'dep']",10,2,2
419,"['root', 'dep', 'punct']",12,0,0
420,"['root', 'ccomp', 'nsubjpass', 'nummod']",5,0,0
421,"['root', 'ccomp', 'advcl', 'nsubj', 'cc']",2,0,0
422,"['root', 'ccomp', 'advcl', 'nsubj', 'conj']",1,0,0
423,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'det']",1,0,0
424,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'prep']",1,0,0
425,"['root', 'ccomp', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj']",1,1,1
426,"['root', 'ccomp', 'nsubjpass', 'relcl', 'dobj', 'amod']",1,0,0
427,"['root', 'ccomp', 'conj', 'neg']",4,0,0
428,"['root', 'ccomp', 'conj', 'prep', 'pobj']",8,2,2
429,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'amod']",3,0,0
430,"['root', 'nsubj', 'compound', 'compound', 'compound']",7,7,5
431,"['root', 'ccomp', 'prep', 'pobj', 'acl']",4,0,0
432,"['root', 'ccomp', 'prep', 'pobj', 'acl', 'prep', 'pobj', 'amod']",1,0,0
433,"['root', 'ccomp', 'prep', 'pobj', 'acl', 'prep', 'pobj']",1,0,0
434,"['root', 'ccomp', 'prep', 'pobj', 'compound', 'amod']",1,0,0
435,"['root', 'ccomp', 'prep', 'advmod']",2,0,0
436,"['root', 'ccomp', 'prep', 'pobj', 'nummod']",10,1,0
437,"['root', 'ccomp', 'advcl', 'nsubj', 'prep']",2,0,0
438,"['root', 'ccomp', 'advcl', 'nsubj', 'prep', 'pobj', 'poss', 'det']",4,0,0
439,"['root', 'ccomp', 'advcl', 'nsubj', 'prep', 'pobj', 'poss']",1,0,0
440,"['root', 'ccomp', 'advcl', 'nsubj', 'prep', 'pobj']",1,0,0
441,"['root', 'ccomp', 'advcl', 'nsubj', 'prep', 'pobj', 'poss', 'case']",1,0,0
442,"['root', 'advcl', 'dobj', 'poss']",2,0,0
443,"['root', 'advcl', 'dobj']",18,0,0
444,"['root', 'advcl', 'prep', 'pobj', 'det']",11,0,0
445,"['root', 'conj', 'prep', 'pobj', 'amod']",4,0,0
446,"['root', 'conj', 'prep', 'pobj', 'compound', 'compound']",2,1,1
447,"['root', 'conj', 'prep', 'pobj', 'compound']",2,1,0
448,"['root', 'ccomp', 'nsubjpass', 'preconj']",1,0,0
449,"['root', 'ccomp', 'nsubjpass', 'conj', 'compound']",1,0,0
450,"['root', 'ccomp', 'dobj', 'acl', 'aux']",1,0,0
451,"['root', 'ccomp', 'dobj', 'acl']",3,0,0
452,"['root', 'ccomp', 'dobj', 'acl', 'attr', 'predet']",1,0,0
453,"['root', 'ccomp', 'dobj', 'acl', 'attr']",1,0,0
454,"['root', 'ccomp', 'dobj', 'acl', 'attr', 'det']",1,0,0
455,"['root', 'ccomp', 'dobj', 'acl', 'attr', 'amod']",1,0,0
456,"['root', 'nummod']",9,0,0
457,"['root', 'ccomp', 'nsubjpass', 'acl', 'auxpass']",1,0,0
458,"['root', 'ccomp', 'nsubjpass', 'acl']",3,0,0
459,"['root', 'ccomp', 'nsubjpass', 'acl', 'prep']",4,0,0
460,"['root', 'ccomp', 'nsubjpass', 'acl', 'prep', 'pobj', 'poss']",1,1,1
461,"['root', 'ccomp', 'nsubjpass', 'acl', 'prep', 'pobj']",2,1,0
462,"['root', 'ccomp', 'nsubjpass', 'acl', 'prep', 'pobj', 'poss', 'case']",1,0,0
463,"['root', 'ccomp', 'nsubjpass', 'acl', 'prep', 'pobj', 'compound']",1,1,1
464,"['root', 'ccomp', 'conj', 'nsubjpass', 'amod']",1,0,0
465,"['root', 'ccomp', 'conj', 'nsubjpass']",5,0,0
466,"['root', 'ccomp', 'conj', 'nsubjpass', 'prep', 'pobj', 'poss']",1,0,0
467,"['root', 'ccomp', 'conj', 'nsubjpass', 'prep', 'pobj']",1,0,0
468,"['root', 'ccomp', 'conj', 'auxpass']",4,0,0
469,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'det']",4,0,0
470,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'compound']",3,0,0
471,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'advmod']",1,0,0
472,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'advmod', 'prep', 'pobj', 'det']",1,0,0
473,"['root', 'ccomp', 'conj', 'prep', 'pobj', 'advmod', 'prep', 'pobj']",1,0,0
474,"['root', 'advmod']",59,0,0
475,"['root', 'advcl', 'ccomp', 'nsubj']",6,1,1
476,"['root', 'advcl', 'ccomp']",7,0,0
477,"['root', 'advcl', 'ccomp', 'prep']",3,0,0
478,"['root', 'advcl', 'ccomp', 'prep', 'pobj', 'poss']",1,0,0
479,"['root', 'advcl', 'ccomp', 'prep', 'pobj']",3,0,0
480,"['root', 'ccomp', 'conj', 'advmod']",7,0,0
481,"['root', 'ccomp', 'dobj', 'compound', 'compound', 'compound']",1,1,1
482,"['root', 'ccomp', 'dobj', 'compound', 'compound']",4,1,0
483,"['root', 'ccomp', 'dobj', 'compound']",9,4,3
484,"['root', 'ccomp', 'conj', 'dobj', 'det']",2,0,0
485,"['root', 'ccomp', 'conj', 'dobj']",7,0,0
486,"['root', 'ccomp', 'conj', 'dobj', 'npadvmod', 'nummod']",3,0,0
487,"['root', 'conj', 'xcomp', 'aux']",3,0,0
488,"['root', 'conj', 'xcomp']",4,0,0
489,"['root', 'conj', 'xcomp', 'dobj', 'det']",1,0,0
490,"['root', 'conj', 'xcomp', 'dobj']",3,0,0
491,"['root', 'punct', 'nummod', 'nummod']",5,0,0
492,"['root', 'ccomp', 'prep', 'pobj', 'relcl', 'prep']",6,0,0
493,"['root', 'ccomp', 'prep', 'pobj', 'relcl']",7,0,0
494,"['root', 'ccomp', 'prep', 'pobj', 'relcl', 'prep', 'pobj']",6,1,1
495,"['root', 'ccomp', 'prep', 'pobj', 'relcl', 'nsubj']",7,0,0
496,"['root', 'ccomp', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'det']",2,0,0
497,"['root', 'ccomp', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'amod']",1,0,0
498,"['root', 'dobj', 'compound', 'compound']",4,1,1
499,"['root', 'conj', 'dobj']",8,0,0
500,"['root', 'conj', 'dobj', 'conj', 'det']",1,0,0
501,"['root', 'conj', 'dobj', 'conj']",2,1,0
502,"['root', 'conj', 'ccomp', 'prep', 'pobj']",1,0,0
503,"['root', 'conj', 'ccomp', 'advmod']",2,0,0
504,"['root', 'ccomp', 'conj', 'nsubj']",8,0,0
505,"['root', 'ccomp', 'conj', 'xcomp', 'aux']",7,0,0
506,"['root', 'ccomp', 'conj', 'xcomp']",5,0,0
507,"['root', 'ccomp', 'conj', 'xcomp', 'dobj', 'det']",3,0,0
508,"['root', 'ccomp', 'conj', 'xcomp', 'dobj']",3,0,0
509,"['root', 'nsubj', 'relcl', 'acomp']",1,0,0
510,"['root', 'nsubj', 'relcl', 'acomp', 'prep']",1,0,0
511,"['root', 'nsubj', 'relcl', 'acomp', 'prep', 'pcomp']",1,0,0
512,"['root', 'nsubj', 'relcl', 'acomp', 'prep', 'pcomp', 'dobj', 'det']",1,0,0
513,"['root', 'nsubj', 'relcl', 'acomp', 'prep', 'pcomp', 'dobj']",1,0,0
514,"['root', 'nsubj', 'relcl', 'acomp', 'prep', 'pcomp', 'advmod']",1,0,0
515,"['root', 'prep', 'amod']",2,0,0
516,"['root', 'prep', 'amod', 'cc']",2,0,0
517,"['root', 'prep', 'amod', 'conj']",2,0,0
518,"['root', 'appos', 'nummod', 'nummod', 'nummod']",2,0,0
519,"['root', 'appos', 'nummod', 'nummod']",2,0,0
520,"['root', 'prep', 'pcomp']",14,0,0
521,"['root', 'nsubjpass', 'compound']",10,6,6
522,"['root', 'nsubjpass', 'compound', 'compound']",2,0,0
523,"['root', 'nsubjpass', 'prep', 'pobj', 'compound']",4,4,2
524,"['root', 'nsubjpass', 'prep', 'pobj', 'appos', 'punct']",2,0,0
525,"['root', 'nsubjpass', 'prep', 'pobj', 'appos']",4,2,2
526,"['root', 'prep', 'pobj', 'prep', 'pobj', 'det']",2,0,0
527,"['root', 'prep', 'pobj', 'prep', 'pobj', 'nmod']",2,1,1
528,"['root', 'prep', 'pobj', 'prep', 'pobj', 'amod']",6,1,1
529,"['root', 'prep', 'pobj', 'prep', 'pobj', 'compound']",10,9,5
530,"['root', 'prep', 'pobj', 'prep', 'pobj', 'punct']",4,0,0
531,"['root', 'prep', 'pobj', 'prep', 'pobj', 'appos']",1,1,1
532,"['root', 'prep', 'pobj', 'prep', 'pobj', 'prep']",3,0,0
533,"['root', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj']",3,2,2
534,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'nsubjpass']",1,0,0
535,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl']",1,0,0
536,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'auxpass']",1,0,0
537,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'prep']",1,0,0
538,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'det']",1,0,0
539,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj']",1,0,0
540,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'amod']",1,1,1
541,"['root', 'prep', 'pobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'compound']",1,0,0
542,"['root', 'nsubjpass', 'acl']",3,0,0
543,"['root', 'nsubjpass', 'acl', 'prep']",2,0,0
544,"['root', 'nsubjpass', 'acl', 'prep', 'pobj']",1,1,1
545,"['root', 'prep', 'pobj', 'acl', 'prep', 'pobj']",5,2,2
546,"['root', 'appos', 'punct']",22,3,0
547,"['root', 'dep', 'mark']",1,0,0
548,"['root', 'dep', 'compound']",4,0,0
549,"['root', 'npadvmod', 'punct']",3,0,0
550,"['root', 'npadvmod', 'cc']",3,0,0
551,"['root', 'npadvmod', 'conj', 'quantmod']",1,1,1
552,"['root', 'npadvmod', 'conj']",2,0,0
553,"['root', 'npadvmod', 'conj', 'nmod']",1,0,0
554,"['root', 'prep', 'pobj', 'quantmod']",3,1,1
555,"['root', 'advcl', 'npadvmod']",3,0,0
556,"['root', 'advcl', 'nsubj', 'det']",14,0,0
557,"['root', 'advcl', 'nsubj']",27,1,0
558,"['root', 'prep', 'pobj', 'nummod']",15,0,0
559,"['root', 'advcl', 'prep', 'pobj', 'quantmod']",2,2,2
560,"['root', 'advcl', 'advcl', 'aux']",3,0,0
561,"['root', 'advcl', 'advcl']",6,0,0
562,"['root', 'advcl', 'advcl', 'prep']",3,0,0
563,"['root', 'advcl', 'advcl', 'prep', 'pobj']",5,1,1
564,"['root', 'advcl', 'prep', 'pobj', 'compound']",5,2,2
565,"['root', 'advcl', 'prep', 'pobj', 'prep']",12,0,0
566,"['root', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'det']",7,0,0
567,"['root', 'advcl', 'prep', 'pobj', 'prep', 'pobj']",14,4,1
568,"['root', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'compound']",5,3,3
569,"['root', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'compound']",2,2,1
570,"['root', 'advcl', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj']",2,1,0
571,"['root', 'ccomp', 'acomp']",12,0,0
572,"['root', 'ccomp', 'acomp', 'prep']",5,0,0
573,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'det']",4,0,0
574,"['root', 'ccomp', 'acomp', 'prep', 'pobj']",5,0,0
575,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep']",5,0,0
576,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'det']",2,0,0
577,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj']",5,0,0
578,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'compound']",1,1,1
579,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'cc']",1,0,0
580,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'det']",1,0,0
581,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'conj']",1,1,0
582,"['root', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'compound']",1,1,1
583,"['root', 'dobj', 'prep', 'pobj', 'compound']",13,7,6
584,"['root', 'ccomp', 'attr', 'det']",8,0,0
585,"['root', 'ccomp', 'attr']",13,0,0
586,"['root', 'ccomp', 'attr', 'amod', 'advmod']",2,0,0
587,"['root', 'ccomp', 'attr', 'amod']",6,0,0
588,"['root', 'prep', 'pobj', 'amod', 'advmod']",3,0,0
589,"['root', 'prep', 'pobj', 'conj']",8,0,0
590,"['root', 'prep', 'pobj', 'conj', 'prep']",2,0,0
591,"['root', 'prep', 'pobj', 'conj', 'punct']",1,0,0
592,"['root', 'ccomp', 'acomp', 'xcomp', 'aux']",2,0,0
593,"['root', 'ccomp', 'acomp', 'xcomp']",1,0,0
594,"['root', 'ccomp', 'acomp', 'xcomp', 'dobj']",1,0,0
595,"['root', 'ccomp', 'acomp', 'xcomp', 'prep']",1,0,0
596,"['root', 'ccomp', 'acomp', 'xcomp', 'prep', 'pobj', 'amod']",1,0,0
597,"['root', 'ccomp', 'acomp', 'xcomp', 'prep', 'pobj']",1,0,0
598,"['root', 'ccomp', 'prep', 'pobj', 'compound', 'compound']",3,2,2
599,"['root', 'expl']",6,0,0
600,"['root', 'attr', 'nummod']",3,0,0
601,"['root', 'attr', 'relcl', 'dobj', 'det']",3,0,0
602,"['root', 'attr', 'relcl', 'dobj']",2,0,0
603,"['root', 'attr', 'relcl', 'prep']",1,0,0
604,"['root', 'attr', 'relcl', 'prep', 'pobj']",1,0,0
605,"['root', 'dep', 'det']",2,0,0
606,"['root', 'dep', 'prep']",1,0,0
607,"['root', 'dep', 'prep', 'pobj']",2,0,0
608,"['root', 'dep', 'cc']",1,0,0
609,"['root', 'dep', 'conj', 'det']",2,0,0
610,"['root', 'dep', 'conj']",1,0,0
611,"['root', 'dep', 'conj', 'amod']",1,0,0
612,"['root', 'dep', 'conj', 'compound']",1,0,0
613,"['root', 'dep', 'conj', 'acl']",1,0,0
614,"['root', 'dep', 'conj', 'acl', 'prep']",1,0,0
615,"['root', 'dep', 'conj', 'acl', 'prep', 'pobj']",1,0,0
616,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'det']",10,0,0
617,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'punct']",2,0,0
618,"['root', 'nsubj', 'appos', 'prep', 'pobj', 'appos']",3,2,2
619,"['root', 'prep', 'pcomp', 'dobj']",7,1,1
620,"['root', 'prep', 'pcomp', 'prep']",8,0,0
621,"['root', 'npadvmod', 'amod']",3,0,0
622,"['root', 'prep', 'pobj', 'nmod']",11,2,2
623,"['root', 'acomp', 'xcomp', 'prep']",1,0,0
624,"['root', 'ccomp', 'dobj', 'nmod']",1,0,0
625,"['root', 'ccomp', 'dobj', 'nmod', 'prep']",1,0,0
626,"['root', 'ccomp', 'dobj', 'nmod', 'prep', 'pobj']",1,0,0
627,"['root', 'ccomp', 'conj', 'acomp', 'ccomp', 'nsubjpass', 'det']",1,0,0
628,"['root', 'ccomp', 'conj', 'acomp', 'ccomp', 'nsubjpass']",1,0,0
629,"['root', 'ccomp', 'conj', 'acomp', 'ccomp']",1,0,0
630,"['root', 'ccomp', 'conj', 'acomp', 'ccomp', 'aux']",1,0,0
631,"['root', 'ccomp', 'conj', 'acomp', 'ccomp', 'auxpass']",1,0,0
632,"['root', 'ccomp', 'conj', 'nsubj', 'poss']",1,0,0
633,"['root', 'ccomp', 'conj', 'nsubj', 'prep']",4,0,0
634,"['root', 'ccomp', 'conj', 'nsubj', 'prep', 'pobj', 'det']",1,0,0
635,"['root', 'ccomp', 'conj', 'nsubj', 'prep', 'pobj']",2,1,0
636,"['root', 'conj', 'amod']",1,0,0
637,"['root', 'conj', 'prep', 'pobj', 'nummod']",3,0,0
638,"['root', 'nsubj', 'compound', 'nummod']",2,0,0
639,"['root', 'conj', 'prep', 'pobj', 'prep']",4,0,0
640,"['root', 'conj', 'prep', 'conj']",1,0,0
641,"['root', 'conj', 'prep', 'conj', 'prep', 'pobj', 'quantmod']",1,0,0
642,"['root', 'conj', 'prep', 'conj', 'prep', 'pobj']",1,0,0
643,"['root', 'conj', 'prep', 'conj', 'cc']",1,0,0
644,"['root', 'conj', 'prep', 'conj', 'conj']",1,0,0
645,"['root', 'conj', 'prep', 'conj', 'conj', 'prep', 'pobj', 'nummod', 'quantmod']",1,0,0
646,"['root', 'conj', 'prep', 'conj', 'conj', 'prep', 'pobj', 'nummod']",1,0,0
647,"['root', 'conj', 'prep', 'conj', 'conj', 'prep', 'pobj']",1,0,0
648,"['root', 'dobj', 'poss']",12,0,0
649,"['root', 'conj', 'det']",1,0,0
650,"['root', 'conj', 'compound']",5,3,2
651,"['root', 'nsubj', 'relcl', 'ccomp', 'mark']",1,0,0
652,"['root', 'nsubj', 'relcl', 'ccomp']",2,0,0
653,"['root', 'nsubj', 'relcl', 'ccomp', 'nsubj', 'compound', 'compound']",1,1,1
654,"['root', 'nsubj', 'relcl', 'ccomp', 'nsubj', 'compound']",2,1,1
655,"['root', 'nsubj', 'relcl', 'ccomp', 'nsubj']",1,1,0
656,"['root', 'nsubj', 'relcl', 'ccomp', 'aux']",2,0,0
657,"['root', 'nsubj', 'relcl', 'ccomp', 'prep']",1,0,0
658,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj', 'det']",2,0,0
659,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj']",1,0,0
660,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj', 'amod']",1,0,0
661,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj', 'prep']",1,0,0
662,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj', 'prep', 'pobj', 'compound']",2,2,2
663,"['root', 'nsubj', 'relcl', 'ccomp', 'prep', 'pobj', 'prep', 'pobj']",1,1,0
664,"['root', 'ccomp', 'nsubj', 'relcl', 'prep', 'pobj', 'amod']",1,0,0
665,"['root', 'ccomp', 'nsubj', 'relcl', 'cc']",3,0,0
666,"['root', 'ccomp', 'nsubj', 'relcl', 'conj']",1,0,0
667,"['root', 'ccomp', 'nsubj', 'relcl', 'conj', 'prep', 'pobj']",1,0,0
668,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'amod', 'conj']",1,1,1
669,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'advmod']",1,0,0
670,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl']",1,0,0
671,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'nsubjpass', 'nummod']",1,0,0
672,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'nsubjpass']",1,0,0
673,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'auxpass']",1,0,0
674,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'agent']",1,0,0
675,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'agent', 'pobj', 'det']",1,0,0
676,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'agent', 'pobj']",1,0,0
677,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'agent', 'pobj', 'compound', 'compound']",1,0,0
678,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'agent', 'pobj', 'compound']",1,0,0
679,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj']",1,0,0
680,"['root', 'ccomp', 'dobj', 'prep', 'pobj', 'relcl', 'prep', 'pobj', 'nummod']",1,0,0
681,"['root', 'ccomp', 'dobj', 'cc']",7,1,0
682,"['root', 'ccomp', 'dobj', 'conj', 'nmod']",1,0,0
683,"['root', 'ccomp', 'dobj', 'conj']",2,1,1
684,"['root', 'ccomp', 'dobj', 'conj', 'nmod', 'prep']",1,0,0
685,"['root', 'ccomp', 'dobj', 'conj', 'nmod', 'prep', 'pobj']",1,1,1
686,"['root', 'ccomp', 'dobj', 'conj', 'nmod', 'prep', 'pobj', 'conj']",1,1,0
687,"['root', 'nsubj', 'conj', 'det']",1,0,0
688,"['root', 'nsubj', 'conj']",2,1,0
689,"['root', 'nsubj', 'conj', 'amod']",1,0,0
690,"['root', 'nsubj', 'conj', 'compound']",1,1,0
691,"['root', 'dobj', 'punct']",13,0,0
692,"['root', 'dobj', 'conj', 'compound']",1,1,1
693,"['root', 'dobj', 'conj']",4,2,0
694,"['root', 'dobj', 'conj', 'cc']",2,0,0
695,"['root', 'dobj', 'conj', 'conj']",3,3,1
696,"['root', 'ccomp', 'expl']",3,0,0
697,"['root', 'ccomp', 'attr', 'compound']",2,0,0
698,"['root', 'ccomp', 'attr', 'prep']",4,0,0
699,"['root', 'ccomp', 'attr', 'prep', 'pobj']",3,1,1
700,"['root', 'conj', 'ccomp', 'mark']",1,0,0
701,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'poss']",1,1,1
702,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'poss', 'case']",2,0,0
703,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep']",2,0,0
704,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'poss', 'det']",1,0,0
705,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'poss']",1,0,0
706,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj']",2,0,0
707,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'amod']",1,0,0
708,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'npadvmod', 'amod']",1,0,0
709,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'prep', 'pobj', 'npadvmod']",1,0,0
710,"['root', 'ccomp', 'nsubj', 'prep', 'pcomp', 'mark']",1,0,0
711,"['root', 'ccomp', 'nsubj', 'prep', 'pcomp']",1,0,0
712,"['root', 'ccomp', 'nsubj', 'prep', 'pcomp', 'nsubj']",1,1,1
713,"['root', 'ccomp', 'nsubj', 'prep', 'pcomp', 'aux']",1,0,0
714,"['root', 'nsubj', 'relcl', 'dobj', 'compound']",3,3,3
715,"['root', 'nsubj', 'relcl', 'advcl', 'aux']",1,0,0
716,"['root', 'nsubj', 'relcl', 'advcl']",1,0,0
717,"['root', 'nsubj', 'relcl', 'advcl', 'dobj', 'amod']",1,0,0
718,"['root', 'nsubj', 'relcl', 'advcl', 'dobj']",2,0,0
719,"['root', 'nsubj', 'relcl', 'advcl', 'dobj', 'prep']",2,0,0
720,"['root', 'nsubj', 'relcl', 'advcl', 'dobj', 'prep', 'pobj']",1,0,0
721,"['root', 'ccomp', 'acomp', 'advmod']",3,0,0
722,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'compound']",1,1,1
723,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'cc']",1,0,0
724,"['root', 'ccomp', 'acomp', 'prep', 'pobj', 'prep', 'pobj', 'conj', 'det']",1,0,0
